PlayerID,PlayerName,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,TargetsPerSnapLast3,TargetsPerGameLast3,ReceptionsLast3,TotalTargetsLast3,TargetsPerSnap,TargetsPerGame,TotalReceptions,TotalTargets
19562,Austin Ekeler,1,4,11,1,null,null,null,null,null,null,null,16,9,9,4,3,7,12.962962962962964,4.666666666666667,13,14,15.815085158150852,6.5,54,65
19863,Dallas Goedert,9,8,1,null,null,null,null,1,null,6,6,10,7,6,8,3,null,9.649122807017545,5.5,7,11,10.79734219269103,5.909090909090909,46,65
16837,Chris Conley,1,7,8,4,2,2,2,null,8,8,4,null,2,0,3,3,9,14.705882352941176,5,11,15,14.350797266514807,4.2,40,63
19045,Aaron Jones,6,8,4,5,null,5,null,null,5,6,4,2,3,3,4,3,5,10.619469026548673,4,9,12,11.688311688311689,4.5,47,63
19063,George Kittle,5,null,null,15,8,10,7,4,null,null,null,null,null,null,null,5,9,20.28985507246377,7,11,14,14.221218961625283,7.875,48,63
19976,Marquez Valdes-Scantling,6,7,4,8,null,5,4,1,4,6,6,0,2,6,1,0,3,3.883495145631068,1.3333333333333333,2,4,7.934508816120907,3.9375,33,63
16056,James White,3,null,null,8,null,9,1,4,5,2,9,1,4,2,4,3,7,22.22222222222222,4.666666666666667,11,14,18.78787878787879,4.428571428571429,49,62
18935,Gerald Everett,2,0,2,1,4,4,5,9,null,3,5,2,7,3,5,3,7,11.71875,5,6,15,9.748427672955975,3.875,41,62
20788,Mecole Hardman,1,3,6,4,3,1,2,9,4,null,1,5,3,3,9,6,2,16.19047619047619,5.666666666666667,8,17,12.424849699398798,3.875,41,62
21735,Gabriel Davis,2,1,4,1,9,1,3,2,5,3,null,4,4,8,5,5,5,8.426966292134832,5,7,15,7.779171894604768,3.875,35,62
11056,Antonio Brown,null,null,null,null,null,null,null,null,5,8,13,3,null,5,7,6,14,20.149253731343283,9,20,27,18.88544891640867,7.625,45,61
21744,Michael Pittman Jr.,2,6,4,null,null,null,null,1,7,8,3,9,5,5,3,6,2,7.189542483660131,3.6666666666666665,7,11,8.726752503576538,4.6923076923076925,40,61
14918,Tyler Eifert,1,6,3,6,7,0,null,null,5,4,5,4,6,2,4,5,2,10.891089108910892,3.6666666666666665,6,11,10.94890510948905,4,36,60
8534,Jared Cook,7,5,3,null,3,null,4,7,3,2,1,2,5,4,5,4,5,15.217391304347826,4.666666666666667,9,14,12.875536480686696,4,37,60
