PlayerID,PlayerName,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,TargetShareL3,TargetsPerGameLast3,ReceptionsLast3,TotalTargetsLast3,TargetShare,TargetsPerGame,TotalReceptions,TotalTargets
19988,Tyler Conklin,4,4,8,6,3,5,null,7,7,5,3,3,9,2,3,5,9,4,19.565217391304348,6,11,18,15.077989601386482,5.117647058823529,61,87
19207,Tim Patrick,4,4,5,6,9,6,5,3,5,6,null,3,5,5,5,4,null,10,19.444444444444443,7,8,14,16.472868217054263,5.3125,53,85
18032,Tyler Higbee,6,1,5,6,2,5,8,3,10,5,null,5,6,null,null,6,9,8,22.115384615384617,7.666666666666667,17,23,14.119601328903654,5.666666666666667,61,85
21750,Marquez Callaway,2,4,5,2,8,null,7,5,6,4,4,4,4,4,9,5,10,1,25,5.333333333333333,10,16,17.94871794871795,4.9411764705882355,46,84
21747,Brandon Aiyuk,0,2,6,3,4,null,1,7,8,4,7,6,6,10,2,5,6,7,20,6,14,18,16.93548387096774,4.9411764705882355,56,84
18803,Leonard Fournette,7,4,3,5,5,6,4,5,null,9,6,8,8,7,7,null,null,null,null,null,0,0,11.715481171548117,6,69,84
20805,T.J. Hockenson,10,9,2,8,3,11,9,11,null,1,8,3,8,null,null,null,null,null,null,null,0,0,14.795008912655971,6.916666666666667,61,83
20788,Mecole Hardman,3,8,4,3,12,5,5,7,6,3,3,null,1,2,4,5,1,11,16.19047619047619,5.666666666666667,12,17,13.050314465408805,4.882352941176471,59,83
8534,Jared Cook,8,5,3,7,3,7,null,5,4,3,5,5,4,5,7,5,null,7,9.375,6,7,12,12.613981762917932,5.1875,48,83
21714,K.J. Osborn,9,6,2,7,4,7,null,3,2,1,4,2,7,9,3,7,5,4,17.391304347826086,5.333333333333333,9,16,14.211438474870018,4.823529411764706,50,82
16389,Odell Beckham Jr.,null,null,9,7,3,8,6,1,null,3,null,10,5,7,3,8,7,5,19.23076923076923,6.666666666666667,11,20,13.621262458471762,5.857142857142857,44,82
22507,Pat Freiermuth,1,4,5,1,2,7,null,7,6,9,7,4,4,3,4,null,6,9,11.363636363636363,7.5,11,15,12.09800918836141,4.9375,60,79
21684,D'Andre Swift,11,5,7,6,6,7,10,5,null,6,4,3,null,null,null,null,3,5,8.080808080808081,4,6,8,13.903743315508022,6,62,78
22592,Elijah Moore,4,8,6,null,2,null,6,6,8,6,11,8,12,null,null,null,null,null,null,null,0,0,13.298791018998273,7,43,77
18977,Kenny Golladay,6,8,5,7,3,null,null,null,3,null,2,7,5,8,8,8,1,5,17.073170731707318,4.666666666666667,6,14,13.547237076648841,5.428571428571429,37,76
19863,Dallas Goedert,5,2,4,5,3,null,5,7,6,2,8,3,6,null,9,4,7,null,12.790697674418604,5.5,8,11,16.30901287553648,5.066666666666666,56,76
17975,Hunter Henry,3,4,6,5,8,2,4,3,3,4,3,5,0,null,8,6,5,6,18.085106382978722,5.666666666666667,9,17,14.312977099236642,4.411764705882353,50,75
16775,DeVante Parker,7,9,7,9,null,null,null,11,null,null,null,null,5,null,8,0,13,4,20,5.666666666666667,6,17,12.207357859531772,7.3,40,73
18912,Evan Engram,null,null,6,6,4,5,8,4,3,null,5,6,5,4,5,5,2,5,14.634146341463415,4,6,12,13.01247771836007,4.866666666666666,46,73
11063,Emmanuel Sanders,8,6,6,6,5,8,null,4,8,2,5,3,6,1,null,4,null,null,3.6036036036036037,4,2,4,11.556982343499197,5.142857142857143,42,72
20850,Dawson Knox,4,3,5,8,4,3,null,null,null,1,10,3,6,9,5,3,2,5,9.00900900900901,3.3333333333333335,5,10,11.396468699839486,4.733333333333333,49,71
18422,Kalif Raymond,4,2,10,6,2,7,8,1,null,6,1,4,2,5,3,5,null,5,10.1010101010101,5,7,10,12.655971479500892,4.4375,48,71
16866,Jamison Crowder,null,null,null,9,6,null,6,9,7,5,7,1,6,6,8,null,null,1,null,1,1,1,12.26252158894646,5.916666666666667,51,71
18926,Zay Jones,2,0,1,1,2,0,1,null,4,3,2,7,5,7,9,8,10,8,28.88888888888889,8.666666666666666,19,26,11.608623548922056,4.117647058823529,47,70
19318,Kendrick Bourne,3,3,8,5,3,2,4,7,4,4,4,6,0,null,3,4,6,4,14.893617021276595,4.666666666666667,10,14,13.358778625954198,4.117647058823529,55,70
15150,Cordarrelle Patterson,2,7,7,6,9,null,5,5,6,2,null,3,5,5,2,2,2,1,6.756756756756757,1.6666666666666667,4,5,12.432432432432432,4.3125,52,69
19172,Zach Pascal,5,6,7,5,5,1,6,8,7,2,1,7,3,null,2,null,2,2,4.938271604938271,2,2,4,13.77245508982036,4.3125,38,69
14871,Robert Woods,4,9,6,6,14,5,6,9,10,null,null,null,null,null,null,null,null,null,null,null,0,0,11.461794019933555,7.666666666666667,45,69
22623,Rashod Bateman,null,null,null,null,null,6,6,null,8,8,6,4,1,8,2,5,10,4,19.19191919191919,6.333333333333333,13,19,11.486486486486486,5.666666666666667,46,68
18878,Alvin Kamara,4,6,4,0,8,null,11,4,7,null,null,null,null,5,6,4,6,2,18.75,4,9,12,14.316239316239317,5.153846153846154,47,67
16263,Allen Robinson II,11,4,6,3,5,7,4,4,6,null,null,null,null,6,null,null,6,4,8.771929824561404,5,6,10,12.595419847328245,5.5,38,66
19961,Ray-Ray McCloud III,0,0,4,1,2,2,null,0,1,12,2,null,4,8,3,8,10,9,20.454545454545453,9,12,27,10.10719754977029,4.125,39,66
22626,Rondale Moore,5,8,2,3,6,4,3,5,5,4,11,null,2,4,3,null,null,null,null,null,0,0,11.38353765323993,4.642857142857143,54,65
17923,Ezekiel Elliott,2,2,3,1,3,9,null,6,3,3,6,8,3,6,4,1,2,3,5.660377358490566,2,3,6,10.220125786163521,3.823529411764706,47,65
19045,Aaron Jones,2,6,2,4,5,4,5,11,2,6,null,1,null,3,2,6,6,null,10.81081081081081,6,10,12,11.423550087873462,4.333333333333333,52,65
20038,Braxton Berrios,7,11,3,1,1,null,0,2,3,3,1,3,1,10,1,6,12,null,26.08695652173913,9,13,18,11.226252158894646,4.0625,46,65
14986,DeAndre Hopkins,8,4,6,7,9,4,9,2,null,null,null,null,2,13,null,null,null,null,null,null,0,0,11.208406304728546,6.4,42,64
20824,Josh Jacobs,2,null,null,5,5,1,3,null,4,5,7,4,9,6,4,3,4,2,10,3,7,9,10.613598673300165,4.266666666666667,54,64
16781,Nelson Agholor,7,3,8,5,4,4,5,6,0,4,5,3,1,null,6,null,null,3,3.1914893617021276,3,1,3,12.213740458015268,4.266666666666667,37,64
21735,Gabe Davis,5,0,1,1,1,2,null,5,2,3,4,3,4,8,7,null,3,14,15.315315315315315,8.5,6,17,10.112359550561798,3.9375,35,63
16917,C.J. Uzomah,2,2,1,6,2,3,3,4,5,null,3,3,6,6,4,7,6,null,11.504424778761061,6.5,9,13,11.666666666666666,3.9375,49,63
20768,Myles Gaskin,5,5,6,0,10,6,4,4,6,2,4,2,2,null,0,3,1,3,8.235294117647058,2.3333333333333335,4,7,10.535117056856187,3.7058823529411766,49,63
18935,Gerald Everett,2,2,5,null,null,3,3,2,null,8,4,9,6,2,4,5,5,3,16.049382716049383,4.333333333333333,8,13,13.291139240506329,4.2,48,63
19867,Michael Gallup,7,null,null,null,null,null,null,null,null,5,10,8,9,9,5,5,4,null,8.49056603773585,4.5,5,9,9.748427672955975,6.888888888888889,35,62
21957,Quez Watkins,3,2,2,7,3,5,4,2,3,6,1,5,3,null,2,3,4,7,16.27906976744186,4.666666666666667,10,14,13.304721030042918,3.6470588235294117,43,62
11056,Antonio Brown,7,3,null,11,8,13,null,null,null,null,null,null,null,null,null,15,5,null,17.24137931034483,10,13,20,8.647140864714087,8.857142857142858,42,62
17290,Adam Humphries,2,8,4,1,5,2,4,3,null,1,2,2,5,7,6,6,2,2,12.345679012345679,3.3333333333333335,5,10,11.610486891385769,3.6470588235294117,41,62
17963,Austin Hooper,3,5,3,5,0,3,3,6,2,5,7,3,null,6,null,5,5,0,10.416666666666666,3.3333333333333335,5,10,12.224448897795591,3.8125,38,61
20013,Cedrick Wilson Jr.,3,2,4,2,1,7,null,3,5,0,7,10,null,2,0,3,6,6,14.150943396226415,5,13,15,9.59119496855346,3.8125,45,61
20145,Allen Lazard,4,0,1,3,2,5,6,null,1,4,null,6,null,7,4,5,6,6,15.315315315315315,5.666666666666667,13,17,10.54481546572935,4,40,60
21756,Nico Collins,3,1,null,null,null,6,5,4,3,null,2,5,1,10,4,4,5,7,17.97752808988764,5.333333333333333,8,16,11.47227533460803,4.285714285714286,33,60
20150,Byron Pringle,2,2,6,2,2,3,6,2,0,5,2,null,4,1,4,7,4,8,18.095238095238095,6.333333333333333,14,19,9.433962264150944,3.5294117647058822,42,60
21736,Bryan Edwards,5,3,5,4,6,4,4,null,4,4,0,1,5,3,4,null,2,5,7.777777777777778,3.5,4,7,9.78441127694859,3.6875,34,59
21163,Deonte Harty,2,2,3,8,1,null,null,7,8,4,5,5,8,null,null,null,2,4,9.375,3,5,6,12.606837606837606,4.538461538461538,36,59
18879,Corey Davis,7,5,10,7,7,null,6,null,null,7,7,null,3,null,null,null,null,null,null,null,0,0,10.189982728842832,6.555555555555555,34,59
16887,Mike Davis,6,7,4,2,5,null,0,6,2,1,4,4,4,6,1,1,2,3,8.108108108108109,2,5,6,10.45045045045045,3.411764705882353,44,58
